title,score,developer,publisher
ESPN Final Round Golf 2002,7.0,Konami Computer Entertainment Nagoya,Konami
Gekido Advance: Kintaro's Revenge,7.0,Naps Team,Zoo Digital Publishing
Gem Smashers (2011),7.0,Frame Studios Interactive,Metro3D
Madden NFL 2004,7.0,EA Tiburon,EA Sports
Pirates of the Caribbean: Dead Man's Chest,7.0,Griptonite Games,Buena Vista Games
Sega Arcade Gallery,7.0,Bits Studios,THQ
Silent Scope,7.0,KCET,Konami
The Magical Quest Starring Mickey Mouse,7.0,Capcom,Nintendo
Tony Hawk's Underground 2 Remix,7.0,Neversoft Entertainment,Activision
Turbo Turtle Adventure,7.0,Iridon Interactive AB,Majesco
Ultimate Muscle: The Kinnikuman Legacy - The Path of the Superhero,7.0,ShunDa,Bandai
Virtual Kasparov,7.0,Titus Software,Titus Software
Wing Commander: Prophecy,7.0,Raylight Studios,Destination Software
American Bass Challenge,6.9,Starfish,Ubisoft
Disney's Cinderella: Magical Dreams,6.9,Culture Brain,Buena Vista Interactive
Dragon Ball GT: Transformation,6.9,Webfoot Technologies,Atari SA
Duel Masters: Sempai Legends,6.9,Mistic Software,Atari SA
Harry Potter and the Prisoner of Azkaban (2004),6.9,Griptonite Games,EA Games
Monster House,6.9,Artificial Mind and Movement,THQ
Motocross Maniacs Advance,6.9,Konami,Konami
Nicktoons: Battle for Volcano Island,6.9,Blue Tongue Entertainment,THQ
Prehistorik Man,6.9,Titus Software,Titus Software
Sonic Battle,6.9,Sonic Team,THQ
The Sum of All Fears,6.9,Red Storm Entertainment,Ubisoft
Banjo-Pilot,6.8,Rare Ltd.,THQ
Batman: Vengeance,6.8,Ubisoft,Ubisoft
Disney Sports: Soccer,6.8,KCEO,Konami
Disney's Tarzan: Return to the Jungle,6.8,Digital Eclipse,Activision
Disney's Treasure Planet,6.8,Bizarre Creations,Disney Interactive
Dr. Sudoku,6.8,Success,Mastiff
Driven,6.8,Bam Entertainment,Bam Entertainment
Grand Theft Auto (Game Boy Advance),6.8,Digital Eclipse,Rockstar Games
Jazz Jackrabbit,6.8,Game Titan,Jaleco Entertainment
Madden NFL 07,6.8,EA Tiburon,EA Sports
Mega Man Battle Network 4: Red Sun,6.8,Capcom,Capcom
NHL Hitz 20-03,6.8,EA Black Box,Midway
Robopon 2: Ring Version,6.8,RED Entertainment,Atlus
Sea Trader: Rise of Taipan,6.8,Jaleco Entertainment,Jaleco Entertainment
Sigma Star Saga,6.8,WayForward,Namco
Snood (2001),6.8,Rebellion,Destination Software
Spider-Man 3,6.8,Treyarch,Activision
Marvel's The Invincible Iron Man,6.8,Torus Games,Activision
Tom Clancy's Splinter Cell: Pandora Tomorrow,6.8,Ubisoft Shanghai,Ubisoft
Tron 2.0,6.8,Monolith Productions,Buena Vista Interactive
Yu-Gi-Oh! World Championship Tournament 2004,6.8,KCEJ,Konami
Blackthorne,6.7,Mass Media,Blizzard Classic Arcade
Crash Bandicoot Purple: Ripto's Rampage,6.7,Vicarious Visions,VU Games
F-14 Tomcat,6.7,Virtucraft,Majesco
Guilty Gear X Advance Edition,6.7,Arc System Works,Sammy Studios
Mega Man Battle Network 4: Blue Moon,6.7,Capcom,Capcom
Mega Man Battle Network 5: Team Protoman,6.7,Capcom,Capcom
MotoGP,6.7,Climax Studios,THQ
Planet Monsters,6.7,Planet Interactive,Titus Software
Pokemon Mystery Dungeon: Red Rescue Team,6.7,ChunSoft,Nintendo
The Hobbit: The Prelude to the Lord of the Rings,6.7,Inevitable Entertainment,Sierra Entertainment
The Lord of the Rings: The Third Age (2004),6.7,Griptonite Games,EA Games
Urban Yeti!,6.7,Cave Barn,Telegames
Wakeboarding Unleashed Featuring Shaun Murray,6.7,Shaba Games,Activision
Yu-Gi-Oh! Dungeon Dice Monsters,6.7,Konami,Konami
Yu-Gi-Oh! GX: Duel Academy,6.7,Konami,Konami
Capcom Classics Mini Mix,6.6,Sensory Sweep,Capcom
Desert Strike: Return to the Gulf,6.6,BudCat,Electronic Arts
Disney's Lilo & Stitch 2: Hamsterviel Havoc,6.6,Climax Studios,Disney Interactive
