title,score,developer,publisher
Dr. Seuss' Green Eggs and Ham,,Handheld Games,NewKidCo
Dr. Mario,,Nintendo,Nintendo
Dokapon: Monster Hunter,,"Asmik Ace Entertainment, Inc",AIA
DK: King of Swing,,Paon Corporation,Nintendo
Disney's The Lion King 1 1/2,,Vicarious Visions,Disney Interactive
Disney's Tarzan: Return to the Jungle,,Digital Eclipse,Activision
Disney's Peter Pan: Return to Neverland,,Crawfish Interactive,Disney Interactive
Disney's Magical Quest 3 Starring Mickey & Donald,,Klein Computer Entertainment,Capcom
Disney's Lilo & Stitch 2: Hamsterviel Havoc,,Climax Studios,Disney Interactive
Disney's Kim Possible 3: Team Possible,,Artificial Mind and Movement,Buena Vista Interactive
Disney's Herbie: Fully Loaded,,Climax Studios,Buena Vista Interactive
Disney's Cinderella: Magical Dreams,,Culture Brain,Buena Vista Interactive
Disney's Chicken Little (2005),,Artificial Mind and Movement,Buena Vista Games
Disney's Aladdin (1993),,Disney Interactive Studios,Capcom
Disney Sports: Snowboarding,,Konami,Konami
Disney Sports: Motocross,,Konami,Konami
Disney presents Home on the Range,,Artificial Mind and Movement,Disney Interactive
Disney/Pixar Ratatouille (2007),,Helixe,THQ
Dinotopia: The Timestone Pirates,,RFX Interactive,TDK Mediactive
Digimon Battle Spirit,,Dimps Corporation,Bandai
Dexter's Laboratory: Deesaster Strikes!,,Virtucraft,Bam Entertainment
DemiKids: Light Version,,Multimedia Intelligence Transfer,Atlus
Defender of the Crown,,Crawfish Interactive,Metro3D
Defender (Game Boy Advance),,OutLook Entertainment,Midway
Davis Cup Tennis,,Hokus Pokus,Ubisoft
Dave Mirra Freestyle BMX 3,,Full Fat,Acclaim
Dark Arena,,Graphic State,Majesco
Daredevil (2003),,Griptonite Games,Encore Software
Cruis'n Velocity,,Graphic State,Midway
"Crouching Tiger, Hidden Dragon (2003)",,Ubisoft Shanghai,Ubisoft
Crazy Taxi: Catch a Ride,,Graphic State,THQ
Columns Crown,,Wow Entertainment,THQ
CIMA: The Enemy,,Neverland,Natsume
Cartoon Network Speedway,,DC Studios,Majesco
Cartoon Network Block Party,,One Man Band,Majesco
Capcom Classics Mini Mix,,Sensory Sweep,Capcom
Butt Ugly Martians: B.K.M. Battles,,Runecraft,VU Games
Buffy the Vampire Slayer: Wrath of the Darkhul King,,Natsume,THQ
Bubble Bobble: Old & New,,Taito Corporation,Empire Interactive
Bruce Lee: Return of the Legend,,Vicarious Visions,Universal Interactive
Boxing Fever,,Digital Fiction,Majesco
Boulder Dash EX,,Vision Works,Kemco
Bookworm (2004),,PopCap,Majesco
Bomberman Max 2: Red Advance,,Hudson,Majesco
Bomberman Max 2: Blue Advance,,Hudson,Majesco
Beyblade G-Revolution,,Full Fat,Atari SA
BattleBots: Beyond the BattleBox,,Cave Barn,Majesco
Batman Begins (2005),,Vicarious Visions,EA Games
Baseball Advance,,Smilebit,THQ
Barbie Software: Groovy Games,,Digital Illusions,VU Games
Back to Stone,,Hidden Floor,O3 Entertainment
Atomic Betty,,Big Blue Bubble Inc.,Namco
Atari Anniversary Advance,,Digital Eclipse,Infogrames
Around the World in 80 Days (2004),,Saffire,Hip Games
Army Men Advance,,DC Studios,3DO
Altered Beast: Guardian of the Realms,,3d6 Games,THQ
All Grown Up! Express Yourself,,Altron,THQ
Alienators: Evolution Continues,,Digital Eclipse,Activision
Aero The Acro-Bat,,Atomic Planet Entertainment,Metro3D
Advance Guardian Heroes,,Treasure,Ubisoft
Ace Combat Advance,,Human Soft,Namco
