title,score,developer,publisher
Regular Show: Mordecai and Rigby in 8-Bit Land,6.8,WayForward,D3Publisher
Scribblenauts Unmasked: A DC Comics Adventure,6.8,5TH Cell,Warner Bros. Interactive Entertainment
Skylanders Swap Force,6.8,Vicarious Visions,Activision
Sonic Generations,6.8,Sonic Team,Sega
Tetris Ultimate,6.8,Ubisoft San Francisco,Ubisoft
FIFA Soccer 12,6.7,Electronic Arts,Electronic Arts
LEGO Star Wars III: The Clone Wars,6.7,Traveller's Tales,LucasArts
Mahjong Cub3d,6.7,SunSoft,Atlus
Minecraft,6.7,4J Studios,Microsoft Game Studios
Urban Trial Freestyle 2,6.7,Teyon,Tate Multimedia
BlazBlue: Continuum Shift II,6.6,Arc System Works,Aksys Games
Kirby Fighters Deluxe,6.6,HAL Labs,Nintendo
LEGO City Undercover: The Chase Begins,6.6,Traveller's Tales,Nintendo
Mario & Sonic at the London 2012 Olympic Games,6.6,Sega Sports R&D,Sega
One Piece: Romance Dawn,6.6,Three Rings,Namco Bandai Games
Pac-Man & Galaga Dimensions,6.6,Namco Bandai Games,Namco Bandai Games
Resident Evil: The Mercenaries 3D,6.6,Capcom,Capcom
Senran Kagura 2: Deep Crimson,6.6,Tamsoft,Marvelous Inc.
Adventure Time: The Secret of the Nameless Kingdom,6.5,WayForward,Little Orbit
Captain America: Super Soldier,6.5,Next Level Games,Sega
Citizens of Earth,6.5,Eden Industries,Atlus
Jake Hunter Detective Story: Ghost of the Dusk,6.5,Arc System Works,Aksys Games
Kung Fu Rabbit,6.5,Neko Entertainment,Neko Entertainment
LEGO Legends of Chima: Laval's Journey,6.5,TT Fusion,Warner Bros. Interactive Entertainment
Myst (1995),6.5,Hoplite Research,Empire Interactive
Rayman 2: The Great Escape,6.5,Ubisoft Casablanca,Ubisoft
SpongeBob Squigglepants,6.5,WayForward,THQ
Dream Trigger 3D,6.4,"Art Co., Ltd.",D3Publisher
Metroid Prime: Federation Force,6.4,Next Level Games,Nintendo
RPG Maker Fes,6.4,Jupiter Corporation,NIS America
Spirit Camera: The Cursed Memoir,6.4,Tecmo Koei Games,Nintendo
Tank Troopers,6.4,Nintendo,Nintendo
Team Kirby Clash Deluxe,6.4,HAL Labs,Nintendo
Tekken 3D Prime Edition,6.4,Arika,Namco Bandai Games
Yoshi's New Island,6.4,Arzest,Nintendo
Ace Combat: Assault Horizon Legacy+,6.3,Project Aces ,Bandai Namco Games
AeternoBlade,6.3,Corecell Technology,Corecell Technology
Disney Epic Mickey: The Power of Illusion,6.3,DreamRift,Disney Interactive Studios
Pokemon Mystery Dungeon: Gates to Infinity,6.3,Spike Chunsoft,Nintendo
Sonic & All-Stars Racing Transformed,6.3,Sumo Digital,Sega
Angry Birds Trilogy,6.2,Rovio Entertainment,Activision
Bird Mania 3D,6.2,Teyon,Teyon
Moco Moco Friends,6.2,Racjin,Aksys Games
Rabbids Travel in Time 3D,6.2,Ubisoft,Ubisoft
Sadame,6.2,Mebius,Rising Star Games
Cartoon Network: Punch Time Explosion,6.1,Papaya Studio,Crave
Chronus Arc,6.1,"Hit-Point Co., Ltd.",Kemco
Frogger 3D,6.1,Alpha Unit,Konami
Mario Party: The Top 100,6.1,Nd Cube,Nintendo
Pokemon Rumble World,6.1,Ambrella,Nintendo
Pokemon Shuffle,6.1,Genius Sonority Inc.,Nintendo
Sonic Boom: Shattered Crystal,6.1,Sanzaru Games,Sega
Sonic: Lost World,6.1,Sonic Team,Sega
Spider-Man: Edge of Time,6.1,Beenox,Activision
Steel Diver,6.1,Nintendo,Nintendo
League of Heroes,6.0,Gamelion Studios,Gamelion Studios
Yu-Gi-Oh! Zexal: World Duel Carnival,6.0,Konami,Konami
Chibi-Robo! Zip Lash,5.9,Skip Ltd.,Nintendo
Cubic Ninja,5.9,AQ Interactive,Ubisoft
Hometown Story,5.9,TOYBOX,Natsume
Mario Party: Island Tour,5.9,Nd Cube,Nintendo
Pokedex 3D Pro,5.9,Creatures Inc.,Nintendo
Pokemon Dream Radar,5.9,Creatures Inc.,Nintendo
Skylanders Giants,5.9,Toys for Bob,Activision
DualPenSports,5.8,indieszero,Namco Bandai Games
IRONFALL Invasion,5.8,VD-DEV,VD-DEV
Xevious,5.8,Arika,Nintendo
Dementium Remastered,5.7,Renegade Kid,Renegade Kid
Fossil Fighters: Frontier,5.7,RED Entertainment,Nintendo
Rodea the Sky Soldier,5.7,Kadokawa,NIS America
Tom Clancy's Splinter Cell: Chaos Theory,5.7,Ubisoft Montreal,Ubisoft
LEGO Marvel Super Heroes: Universe in Peril,5.6,TT Games,Warner Bros. Interactive Entertainment
Nintendo Badge Arcade,5.6,Nintendo,Nintendo
Power Rangers Super Megaforce,5.6,7thChord,Bandai Namco Games
The Amazing Spider-Man,5.6,Beenox,Activision
Battleship (2012),5.5,Double Helix Games,Activision
Super Monkey Ball 3D,5.5,Sega,Sega
Thor: God of Thunder,5.5,Liquid Entertainment,Sega
Asphalt 3D,5.4,Gameloft,Ubisoft
Combat of Giants: Dinosaurs 3D,5.4,Ubisoft,Ubisoft
Bit Boy!! ARCADE,5.3,Bplus,Bplus
Driver: Renegade,5.3,Ubisoft,Ubisoft
The Sims 3,5.2,The Sims Studio,Electronic Arts
Adventure Time: Explore the Dungeon Because I DON'T KNOW!,4.8,WayForward,D3Publisher
Urban Champion,4.8,Arika,Nintendo
Pac-Man Party,4.7,TOSE,Namco Bandai Games
Attack on Titan: Humanity in Chains,4.6,Spike Chunsoft,Atlus
Harvest Moon 3D: The Lost Valley,4.6,Natsume,Natsume
Saban's Power Rangers Megaforce,4.5,Digital Works Entertainment,Namco Bandai Games
BlazBlue: Clonephantasma,4.2,Arc System Works,Arc System Works
Green Lantern: Rise of the Manhunters,4.2,Double Helix Games,Warner Bros. Interactive Entertainment
Langrisser Re:Incarnation -TENSEI-,4.2,"extreme Co.,Ltd.",Aksys Games
RollerCoaster Tycoon 3D,3.9,n-Space,Atari SA
Transformers: Dark of the Moon,3.8,High Moon Studios,Activision
Disney Wreck-It Ralph,3.5,Disney Interactive Studios,Disney Interactive Studios
Tenkai Knights: Brave Battle,2.8,Bandai Namco Games,Bandai Namco Games
Cartoon Network: Battle Crashers,2.3,Magic Pockets,GameMill Entertainment
