title,score,developer,publisher,rom_name,size
Persona Q2: New Cinema Labyrinth,8.1,Atlus,Atlus,Persona Q2 - New Cinema Labyrinth (USA).3ds,4294967296
Phoenix Wright: Ace Attorney - Dual Destinies,8.1,Capcom,Capcom,,
Phoenix Wright: Ace Attorney - Spirit of Justice,8.1,Capcom,Capcom,,
Rhythm Thief & the Emperor's Treasure,8.1,Xeen,Sega,"Rhythm Thief & the Emperor's Treasure (USA) (En,Fr,Es).3ds",2147483648
Rune Factory 4,8.1,Neverland,XSEED Games,Rune Factory 4 (USA).3ds,2147483648
Siesta Fiesta,8.1,Mojo Bones,Mojo Bones,,
Yo-kai Watch,8.1,Level 5,Nintendo,Youkai Watch (Japan).3ds,1073741824
Yo-kai Watch 2: Bony Spirits,8.1,Level 5,Nintendo,Yo-Kai Watch 2 - Bony Spirits (USA).3ds,2147483648
Yo-kai Watch 2: Fleshy Souls,8.1,Level 5,Nintendo,Yo-Kai Watch 2 - Fleshy Souls (USA).3ds,2147483648
BoxBoxBoy!,8.0,HAL Labs,Nintendo,,
Cooking Mama 5: Bon Appetit!,8.0,Cooking Mama Limited,Majesco,Cooking Mama 5 - Bon Appetit! (USA).3ds,268435456
Crimson Shroud,8.0,Nex Entertainment,Level 5,,
Galaxy Force II,8.0,M2,Sega,,
Gunman Clive 2,8.0,Horberg Productions,Horberg Productions,,
Mutant Mudds,8.0,Renegade Kid,Renegade Kid,,
Shin Megami Tensei: Strange Journey Redux,8.0,Atlus,Atlus,Shin Megami Tensei - Strange Journey Redux (USA).3ds,2147483648
Style Savvy: Styling Star,8.0,syn Sophia,Nintendo,Style Savvy - Fashion Forward (USA).3ds,1073741824
7th Dragon III Code: VFD,7.9,Sega,Sega,7th Dragon III Code - VFD (USA).3ds,2147483648
Bit.Trip Complete / THE BIT.TRIP,7.9,Gaijin Games,Aksys Games,,
Captain Toad: Treasure Tracker,7.9,Nintendo EAD Tokyo ,Nintendo,"Captain Toad - Treasure Tracker (USA) (En,Fr,Es).3ds",536870912
Dragon Ball: Fusions,7.9,Ganbarion,Bandai Namco Games,Dragon Ball Fusions (USA).3ds,1073741824
Etrian Mystery Dungeon,7.9,Spike Chunsoft,Atlus,Etrian Mystery Dungeon (USA).3ds,1073741824
