title,score,developer,publisher,rom_name,size
LEGO Star Wars,8.3,Traveller's Tales,Eidos Interactive,LEGO Star Wars - The Video Game (USA).iso,7825162240
Marvel: Ultimate Alliance,8.3,Raven Software,Activision,"Marvel - Ultimate Alliance (USA, Europe).iso",7825162240
Need for Speed: Most Wanted (2005),8.3,EA Canada,Electronic Arts,Need for Speed - Underground 2 (USA).iso,7825162240
Need for Speed: Underground,8.3,EA Black Box,Electronic Arts,Need for Speed - Underground 2 (USA).iso,7825162240
OutRun2,8.3,Sumo Digital,Microsoft Game Studios,OutRun 2 (USA).iso,7825162240
Phantasy Star Online: Blue Burst,8.3,Sonic Team,Sega,"Phantasy Star Online Episode I & II (USA) (En,Ja,Fr,De,Es).iso",7825162240
Serious Sam: The First Encounter,8.3,Croteam,Gathering,,
Spider-Man 2,8.3,Treyarch,Activision,Spider-Man 2 (World).iso,7825162240
Steel Battalion,8.3,Capcom,Capcom,Steel Battalion (USA).iso,7825162240
The Lord of the Rings: The Third Age,8.3,EA Games,EA Games,"Lord of the Rings, The - The Two Towers (USA).iso",7825162240
The Matrix: Path of Neo,8.3,Shiny Entertainment,Atari SA,"Matrix, The - Path of Neo (USA).iso",7825162240
Tony Hawk's Underground 2 Remix,8.3,Neversoft Entertainment,Activision,"Tony Hawk's Underground 2 (USA, Europe) (En,Fr,De).iso",7825162240
Unreal Championship,8.3,Digital Extremes,Atari SA,"Unreal Championship (USA, Europe) (En,Fr,De,Es,It).iso",7825162240
Black,8.2,Criterion Games,EA Games,Black (USA).iso,7825162240
Freedom Fighters,8.2,Io Interactive,EA Games,Freedom Fighters (USA).iso,7825162240
Gladius (2003),8.2,LucasArts,LucasArts,Gladius (USA).iso,7825162240
Gun,8.2,Neversoft Entertainment,Activision,"Gun (USA, Europe) (En,Fr,Es,It).iso",7825162240
Marvel Nemesis: Rise of the Imperfects,8.2,EA Canada,EA Games,Marvel Nemesis - Rise of the Imperfects (USA).iso,7825162240
MechAssault 2: Lone Wolf,8.2,Day 1 Studios,Microsoft Game Studios,"MechAssault 2 - Lone Wolf (World) (En,Ja,Fr,De,Es,It) (Bonus Disc).iso",7825162240
Metal Arms: Glitch in the System,8.2,Swingin' Ape,VU Games,Metal Arms - Glitch in the System (USA) (Beta) (2003-05-02).iso,227790848
Mortal Kombat: Deception,8.2,Midway,Midway,Mortal Kombat - Deception (USA) (Kollector's Edition Bonus Disc).iso,7825162240
NBA Ballers,8.2,Midway,Midway,NBA Ballers (USA).iso,7825162240
NCAA Football 08,8.2,EA Sports,EA Sports,NCAA Football 2005 (USA).iso,7825162240
Peter Jackson's King Kong: The Official Game of the Movie,8.2,Ubisoft Montpellier,Ubisoft,"Peter Jackson's King Kong - The Official Game of the Movie (USA, Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi).iso",7825162240
Sega GT 2002,8.2,Wow Entertainment,Sega,"Sega GT 2002 (USA) (En,Ja).iso",7825162240
Sphinx and the Cursed Mummy,8.2,Eurocom,THQ,Sphinx and the Cursed Mummy (USA).iso,7825162240
Thief: Deadly Shadows,8.2,Ion Storm,Eidos Interactive,Thief - Deadly Shadows (USA) (Beta) (2004-04-12).iso,2400897024
Tomb Raider: Legend,8.2,Crystal Dynamics,Eidos Interactive,Taito Legends (USA).iso,7825162240
X-Men Legends,8.2,Raven Software,Activision,X-Men Legends (World).iso,7825162240
Brute Force,8.1,Digital Anvil,Microsoft Game Studios,"Brute Force (USA) (En,Fr,De,Es,It).iso",7825162240
