title,score,developer,publisher
Dragon Ball Z: Buu's Fury,6.2,Webfoot Technologies,Atari SA
Disney's Kim Possible: Revenge of Monkey Fist,6.2,Digital Eclipse,Disney Interactive
Digimon Racing,6.2,Griptonite Games,Bandai
DemiKids: Light Version,6.2,Multimedia Intelligence Transfer,Atlus
Bookworm (2004),6.2,PopCap,Majesco
Atomic Betty,6.2,Big Blue Bubble Inc.,Namco
Yu-Gi-Oh! Reshef of Destruction,6.1,Konami,Konami
X-Men: Reign of Apocalypse,6.1,Digital Eclipse,Activision
Ultimate Winter Games,6.1,Sproing,Telegames
Robotech: The Macross Saga,6.1,Lucky Chicken,TDK Mediactive
Rayman: Hoodlum's Revenge,6.1,Backbone Entertainment,Ubisoft
Pinobee: Wings of Adventure,6.1,Artoon,Activision
Dual Blades,6.1,Vivid Image,Metro3D
Bubble Bobble: Old & New,6.1,Taito Corporation,Empire Interactive
Batman Begins (2005),6.1,Vicarious Visions,EA Games
Yu-Gi-Oh! The Sacred Cards,6.0,Konami,Konami
Yoshi Topsy-Turvy,6.0,Artoon,Nintendo
Walt Disney's The Jungle Book,6.0,Visual Impact,Ubisoft
The Powerpuff Girls: Mojo Jojo A-Go-Go,6.0,Sennari Interactive,Bam Entertainment
Star X,6.0,Graphic State,Bam Entertainment
Star Wars Trilogy: Apprentice of the Force,6.0,Ubisoft,Ubisoft
Star Wars: The New Droid Army,6.0,Helixe,THQ
Spyro Orange: The Cortex Conspiracy,6.0,Vicarious Visions,VU Games
Sega Smash Pack,6.0,CodeFire,THQ
Naruto: Ninja Council,6.0,Arc System Works,D3Publisher
Medabots AX: Metabee Ver.,6.0,Natsume,Natsume
Digimon Battle Spirit,6.0,Dimps Corporation,Bandai
"Crouching Tiger, Hidden Dragon (2003)",6.0,Ubisoft Shanghai,Ubisoft
"Shonen Jump's Shaman King: Legacy of the Spirits, Soaring Hawk",5.9,KCEJ,Konami
Sega Rally Championship,5.9,Dice,Sega
Lizzie McGuire 3: Homecoming Havoc,5.9,Climax Studios,Buena Vista Interactive
Kong: The 8th Wonder of the World,5.9,Ubisoft,Ubisoft
Frogger's Journey: The Forgotten Relic,5.9,Konami Computer Entertainment Hawaii,Konami
Disney's Aladdin (1993),5.9,Disney Interactive Studios,Capcom
Disney Sports: Snowboarding,5.9,Konami,Konami
Davis Cup Tennis,5.9,Hokus Pokus,Ubisoft
Tiny Toon Adventures: Wacky Stackers,5.8,Warthog,Conspiracy Entertainment
Super Army War,5.8,Neko Entertainment,Atlus
Star Wars: Jedi Power Battles,5.8,HotGen,THQ
Punch King,5.8,Full Fat,Acclaim
Metroid,5.8,Nintendo,Nintendo
Hugo: The Evil Mirror,5.8,ITE Media,Namco
Disney's Magical Quest 3 Starring Mickey & Donald,5.8,Klein Computer Entertainment,Capcom
The Incredible Hulk (2003),5.7,Pocket Studios,Universal Interactive
Super Duper Sumos,5.7,Handheld Games,Midway
Shrek: Reekin' Havoc,5.7,TOSE,TDK Mediactive
Pocky & Rocky with Becky,5.7,Altron,Natsume
Mobile Suit Gundam Seed: Battle Assault,5.7,Natsume,Bandai
Lizzie McGuire 2: Lizzie Diaries,5.7,Artificial Mind and Movement,Disney Interactive
Jurassic Park III: Island Attack,5.7,Mobile 21,Konami
ESPN Great Outdoor Games Bass 2002,5.7,KCEO,Konami
Dungeons & Dragons: Eye of the Beholder,5.7,Pronto Games,Infogrames
DreamWorks Shrek the Third (2007),5.7,Vicarious Visions,Activision
Army Men Advance,5.7,DC Studios,3DO
Tang Tang,5.6,GameVision,Take-Two Interactive
Rave Master: Special Attack Force!,5.6,KCEJ,Konami
Justice League: Injustice for All,5.6,Saffire,Midway
Garfield and His Nine Lives,5.6,Lucky Jump,The Game Factory
Dynasty Warriors Advance,5.6,Koei,Nintendo
Disney Sports: Motocross,5.6,Konami,Konami
Ace Combat Advance,5.6,Human Soft,Namco
WWE Survivor Series,5.5,Natsume,THQ
Space Channel 5: Ulala's Cosmic Attack,5.5,Art,THQ
Power Rangers: Wild Force,5.5,Natsume,THQ
Power Rangers: Ninja Storm (Game Boy Advance),5.5,Natsume,THQ
Naruto: Ninja Council 2,5.5,Aspect,D3Publisher
Frogger Advance: The Great Quest,5.5,Vicarious Visions,Konami
Planet of the Apes (2001),5.4,Torus Games,Ubisoft
Mega Man: Battle Chip Challenge,5.4,Capcom,Capcom
Mario Party Advance,5.4,AI,Nintendo
Back to Stone,5.4,Hidden Floor,O3 Entertainment
Alienators: Evolution Continues,5.4,Digital Eclipse,Activision
Nicktoons: Freeze Frame Frenzy,5.3,Altron,THQ
Godzilla: Domination!,5.3,WayForward,Infogrames
Dragon Ball Z: The Legacy of Goku,5.3,Webfoot Technologies,Infogrames
Cruis'n Velocity,5.3,Graphic State,Midway
BattleBots: Beyond the BattleBox,5.3,Cave Barn,Majesco
That's So Raven 2: Supernatural Style,5.2,Artificial Mind and Movement,Buena Vista Interactive
Tak: The Great Juju Challenge (2005),5.2,WayForward,THQ
Pac-Man Pinball Advance,5.2,Human Soft,Namco
Kong: The Animated Series,5.2,Planet Interactive,Bam Entertainment
KAO the Kangaroo (2001),5.2,Titus Software,Titus Software
Disney's Peter Pan: Return to Neverland,5.2,Crawfish Interactive,Disney Interactive
Cartoon Network Block Party,5.2,One Man Band,Majesco
Trollz: Hair Affair!,5.1,Powerhead Games,Ubisoft
The Revenge of Shinobi,5.1,3d6 Games,THQ
Serious Sam Advance,5.1,Climax Studios,Global Star Software
xXx,5.0,Digital Eclipse,Activision
Terminator 3: Rise of the Machines (2003),5.0,Taniko,Atari SA
Masters of the Universe - He-Man: Power of Grayskull,5.0,Taniko,TDK Mediactive
Daredevil (2003),5.0,Griptonite Games,Encore Software
Pirates of the Caribbean: The Curse of the Black Pearl,4.9,Pocket Studios,TDK Mediactive
NBA Jam 2002,4.9,DC Studios,Acclaim
"Ed, Edd n Eddy: Jawbreakers!",4.9,Climax Studios,Bam Entertainment
DreamWorks Over the Hedge (2006),4.9,Vicarious Visions,Activision
All Grown Up! Express Yourself,4.9,Altron,THQ
Scooby-Doo! Unmasked (2005),4.8,Artificial Mind and Movement,THQ
Popeye: Rush for Spinach,4.8,Magic Pockets,Namco
Midway's Greatest Arcade Hits,4.8,Midway,Midway
Crazy Taxi: Catch a Ride,4.8,Graphic State,THQ
