title,score,developer,publisher,rom_name,size
Shaman King: Master of Spirits 2,7.2,KCEJ,Konami,Shaman King - Master of Spirits 2 (USA).gba,16777216
Noddy: A Day in Toyland,7.2,Lucky Jump,The Game Factory,"Noddy - A Day in Toyland (USA) (En,Fr,Es).gba",4194304
Lemony Snicket's A Series of Unfortunate Events (2004),7.2,Griptonite Games,Activision,"Lemony Snicket's A Series of Unfortunate Events (Europe) (Fr,Es).gba",16777216
Justice League Heroes: The Flash,7.2,WayForward,Warner Bros. Interactive Entertainment,Justice League Heroes - The Flash (USA).gba,8388608
Hamtaro: Ham-Ham Heartbreak,7.2,Pax Softonica,Nintendo,Hamtaro - Ham-Ham Heartbreak (USA).gba,8388608
Fire Pro Wrestling 2,7.2,Spike,Bam Entertainment,Fire Pro Wrestling 2 (USA).gba,8388608
Defender of the Crown,7.2,Crawfish Interactive,Metro3D,Defender of the Crown (USA).gba,4194304
Banjo-Kazooie: Grunty's Revenge,7.2,Rare Ltd.,THQ,Banjo-Kazooie - Grunty's Revenge (Europe) (Beta 1).gba,8019096
Ballistic: Ecks vs. Sever II,7.2,Crawfish Interactive,Bam Entertainment,Ballistic - Ecks vs. Sever (USA).gba,8388608
Zone of the Enders: The Fist of Mars,7.1,WinkySoft,Konami,Zone of the Enders - The Fist of Mars (USA).gba,8388608
Tim Burton's The Nightmare Before Christmas: The Pumpkin King,7.1,TOSE,Buena Vista Interactive,Tim Burton's The Nightmare Before Christmas - The Pumpkin King (Japan).gba,8388608
Teenage Mutant Ninja Turtles (Game Boy Advance),7.1,Konami,Konami,Teenage Mutant Ninja Turtles 2 (USA) (Unl).gba,33554432
SpongeBob SquarePants: Revenge of the Flying Dutchman (2002),7.1,Vicarious Visions,THQ,SpongeBob SquarePants - Revenge of the Flying Dutchman (USA) (Beta).gba,8166400
Shrek: Hassle at the Castle,7.1,TOSE,TDK Mediactive,"Shrek - Hassle at the Castle (USA) (En,Fr,De,Es,It,Nl).gba",4194304
Secret Agent Barbie: Royal Jewels Mission,7.1,Digital Illusions,VU Games,Secret Agent Barbie - Royal Jewels Mission (USA).gba,4194304
Rampage: Puzzle Attack,7.1,Ninai Games,Midway,"Rampage - Puzzle Attack (USA, Europe).gba",4194304
Hi Hi Puffy AmiYumi: Kaznapped!,7.1,Altron,D3Publisher,Hi Hi Puffy AmiYumi - Kaznapped! (USA).gba,8388608
Game & Watch Gallery 4,7.1,TOSE,Nintendo,Game & Watch Gallery 4 (USA).gba,4194304
DreamWorks Madagascar (Game Boy Advance),7.1,Vicarious Visions,Activision,Daisenryaku for Game Boy Advance (Japan).gba,8388608
Disney's Chicken Little (2005),7.1,Artificial Mind and Movement,Buena Vista Games,Chicken Little (Japan).gba,8388608
Aero The Acro-Bat,7.1,Atomic Planet Entertainment,Metro3D,Aero the Acro-Bat (USA).gba,4194304
Ultimate Muscle: The Kinnikuman Legacy - The Path of the Superhero,7.0,ShunDa,Bandai,Ultimate Muscle - The Kinnikuman Legacy - The Path of the Superhero (USA).gba,16777216
Turbo Turtle Adventure,7.0,Iridon Interactive AB,Majesco,Turbo Turtle Adventure (USA).gba,4194304
The Magical Quest Starring Mickey Mouse,7.0,Capcom,Nintendo,Magical Quest Starring Mickey & Minnie (USA).gba,4194304
Sega Arcade Gallery,7.0,Bits Studios,THQ,SEGA Arcade Gallery (USA).gba,8388608
ESPN Final Round Golf 2002,7.0,Konami Computer Entertainment Nagoya,Konami,ESPN Final Round Golf 2002 (USA).gba,8388608
Dokapon: Monster Hunter,7.0,"Asmik Ace Entertainment, Inc",AIA,Dokapon Q - Monster Hunter! (Japan).gba,8388608
DK: King of Swing,7.0,Paon Corporation,Nintendo,DK - King of Swing (USA).gba,8388608
Contra III: The Alien Wars,7.0,TOSE,Konami,Contra Advance - The Alien Wars EX (USA).gba,4194304
Columns Crown,7.0,Wow Entertainment,THQ,Columns Crown (USA).gba,8388608
CIMA: The Enemy,7.0,Neverland,Natsume,CIMA - The Enemy (USA).gba,8388608
Sonic Battle,6.9,Sonic Team,THQ,"Sonic Battle (Japan) (En,Ja).gba",16777216
Motocross Maniacs Advance,6.9,Konami,Konami,Motocross Maniacs Advance (Japan).gba,4194304
Harry Potter and the Prisoner of Azkaban (2004),6.9,Griptonite Games,EA Games,"Harry Potter and the Prisoner of Azkaban (USA, Europe) (En,Fr,De,Es,It,Nl,Da).gba",16777216
Duel Masters: Sempai Legends,6.9,Mistic Software,Atari SA,Duel Masters - Sempai Legends (USA).gba,8388608
Dragon Ball GT: Transformation,6.9,Webfoot Technologies,Atari SA,Dragon Ball GT - Transformation (USA).gba,8388608
